icd9,phecode,phenotype
23772,199,Neoplasm of uncertain behavior
23773,199,Neoplasm of uncertain behavior
23773,199,Neoplasm of uncertain behavior
2379,199,Neoplasm of uncertain behavior
2380,199,Neoplasm of uncertain behavior
2381,199,Neoplasm of uncertain behavior
2382,173,Neoplasm of uncertain behavior of skin
2384,200,Myeloproliferative disease
2384,200,Myeloproliferative disease
2386,200,Myeloproliferative disease
2387,200,Myeloproliferative disease
23871,200,Myeloproliferative disease
23872,200,Myeloproliferative disease
23873,200,Myeloproliferative disease
23874,200,Myeloproliferative disease
23875,200,Myeloproliferative disease
23876,200,Myeloproliferative disease
23877,851,Complications of transplants and reattached limbs
23879,200,Myeloproliferative disease
2388,199,Neoplasm of uncertain behavior
2390,158,Neoplasm of unspecified nature of digestive system
2391,199,Neoplasm of uncertain behavior
2392,199,Neoplasm of uncertain behavior
2394,189,Cancer of urinary organs (incl. kidney and bladder)
2394,189,Cancer of urinary organs (incl. kidney and bladder)
2395,199,Neoplasm of uncertain behavior
2396,191,Manlignant and unknown neoplasms of brain and nervous system
2397,199,Neoplasm of uncertain behavior
23989,199,Neoplasm of uncertain behavior
2409,240,Simple and unspecified goiter
2410,241,Nontoxic nodular goiter
2410,241,Nontoxic nodular goiter
2411,241,Nontoxic nodular goiter
2411,241,Nontoxic nodular goiter
2419,241,Nontoxic nodular goiter
24200,242,Thyrotoxicosis with or without goiter
24200,242,Thyrotoxicosis with or without goiter
24201,242,Thyrotoxicosis with or without goiter
24201,242,Thyrotoxicosis with or without goiter
24210,242,Thyrotoxicosis with or without goiter
24220,242,Thyrotoxicosis with or without goiter
24220,242,Thyrotoxicosis with or without goiter
24221,242,Thyrotoxicosis with or without goiter
24221,242,Thyrotoxicosis with or without goiter
24230,242,Thyrotoxicosis with or without goiter
24280,242,Thyrotoxicosis with or without goiter
24281,242,Thyrotoxicosis with or without goiter
24290,242,Thyrotoxicosis with or without goiter
24291,242,Thyrotoxicosis with or without goiter
243,244,Hypothyroidism
243,244,Hypothyroidism
2440,244,Hypothyroidism
2440,244,Hypothyroidism
2441,244,Hypothyroidism
2441,244,Hypothyroidism
2442,244,Hypothyroidism
2442,244,Hypothyroidism
2443,244,Hypothyroidism
2443,244,Hypothyroidism
2448,244,Hypothyroidism
2448,244,Hypothyroidism
2449,244,Hypothyroidism
2449,244,Hypothyroidism
2452,245,Thyroiditis
2452,245,Thyroiditis
2452,245,Thyroiditis
2454,245,Thyroiditis
2458,245,Thyroiditis
2458,245,Thyroiditis
2459,245,Thyroiditis
2462,246,Other disorders of thyroid
2462,246,Other disorders of thyroid
2468,246,Other disorders of thyroid
2469,246,Other disorders of thyroid
24900,249,Secondary diabetes mellitus
24901,249,Secondary diabetes mellitus
24911,249,Secondary diabetes mellitus
24950,249,Secondary diabetes mellitus
24960,249,Secondary diabetes mellitus
24980,249,Secondary diabetes mellitus
24981,249,Secondary diabetes mellitus
24990,249,Secondary diabetes mellitus
24991,249,Secondary diabetes mellitus
25000,250,Diabetes mellitus
25000,250,Diabetes mellitus
25001,250,Diabetes mellitus
25001,250,Diabetes mellitus
25002,250,Diabetes mellitus
25002,250,Diabetes mellitus
25003,250,Diabetes mellitus
25003,250,Diabetes mellitus
25010,250,Diabetes mellitus
25010,250,Diabetes mellitus
25010,250,Diabetes mellitus
25011,250,Diabetes mellitus
25011,250,Diabetes mellitus
25011,250,Diabetes mellitus
25012,250,Diabetes mellitus
25012,250,Diabetes mellitus
25012,250,Diabetes mellitus
25013,250,Diabetes mellitus
25013,250,Diabetes mellitus
25013,250,Diabetes mellitus
25020,250,Diabetes mellitus
25020,250,Diabetes mellitus
25021,250,Diabetes mellitus
25021,250,Diabetes mellitus
25022,250,Diabetes mellitus
25022,250,Diabetes mellitus
25023,250,Diabetes mellitus
25023,250,Diabetes mellitus
25030,250,Diabetes mellitus
25030,250,Diabetes mellitus
25031,250,Diabetes mellitus
25031,250,Diabetes mellitus
25032,250,Diabetes mellitus
25032,250,Diabetes mellitus
25033,250,Diabetes mellitus
25033,250,Diabetes mellitus
25040,250,Diabetes mellitus
25040,250,Diabetes mellitus
25040,250,Diabetes mellitus
25041,250,Diabetes mellitus
25041,250,Diabetes mellitus
25041,250,Diabetes mellitus
25042,250,Diabetes mellitus
25042,250,Diabetes mellitus
25042,250,Diabetes mellitus
25043,250,Diabetes mellitus
25043,250,Diabetes mellitus
25043,250,Diabetes mellitus
25050,250,Diabetes mellitus
25050,250,Diabetes mellitus
25050,250,Diabetes mellitus
25051,250,Diabetes mellitus
25051,250,Diabetes mellitus
25051,250,Diabetes mellitus
25052,250,Diabetes mellitus
25052,250,Diabetes mellitus
25052,250,Diabetes mellitus
25053,250,Diabetes mellitus
25053,250,Diabetes mellitus
25053,250,Diabetes mellitus
25060,250,Diabetes mellitus
25060,250,Diabetes mellitus
25060,250,Diabetes mellitus
25061,250,Diabetes mellitus
25061,250,Diabetes mellitus
25061,250,Diabetes mellitus
25062,250,Diabetes mellitus
25062,250,Diabetes mellitus
25062,250,Diabetes mellitus
25063,250,Diabetes mellitus
25063,250,Diabetes mellitus
25063,250,Diabetes mellitus
25070,250,Diabetes mellitus
25070,250,Diabetes mellitus
25070,250,Diabetes mellitus
25071,250,Diabetes mellitus
25071,250,Diabetes mellitus
25071,250,Diabetes mellitus
25072,250,Diabetes mellitus
25072,250,Diabetes mellitus
25072,250,Diabetes mellitus
25073,250,Diabetes mellitus
25073,250,Diabetes mellitus
25073,250,Diabetes mellitus
25080,250,Diabetes mellitus
25080,250,Diabetes mellitus
25081,250,Diabetes mellitus
25081,250,Diabetes mellitus
25082,250,Diabetes mellitus
25082,250,Diabetes mellitus
25083,250,Diabetes mellitus
25083,250,Diabetes mellitus
25090,250,Diabetes mellitus
25090,250,Diabetes mellitus
25091,250,Diabetes mellitus
25091,250,Diabetes mellitus
25092,250,Diabetes mellitus
25092,250,Diabetes mellitus
25093,250,Diabetes mellitus
25093,250,Diabetes mellitus
2510,251,Other disorders of pancreatic internal secretion
2511,251,Other disorders of pancreatic internal secretion
2512,251,Other disorders of pancreatic internal secretion
2513,258,Iatrogenic endocrine disorders
2515,251,Other disorders of pancreatic internal secretion
2515,251,Other disorders of pancreatic internal secretion
2518,251,Other disorders of pancreatic internal secretion
2519,251,Other disorders of pancreatic internal secretion
2520,252,Disorders of parathyroid gland
2520,252,Disorders of parathyroid gland
25200,252,Disorders of parathyroid gland
25200,252,Disorders of parathyroid gland
25201,252,Disorders of parathyroid gland
25201,252,Disorders of parathyroid gland
25202,252,Disorders of parathyroid gland
25202,252,Disorders of parathyroid gland
25208,252,Disorders of parathyroid gland
25208,252,Disorders of parathyroid gland
2521,252,Disorders of parathyroid gland
2521,252,Disorders of parathyroid gland
2528,252,Disorders of parathyroid gland
2530,253,Disorders of the pituitary gland and its hypothalamic control
2530,253,Disorders of the pituitary gland and its hypothalamic control
2530,253,Disorders of the pituitary gland and its hypothalamic control
2531,253,Disorders of the pituitary gland and its hypothalamic control
2531,253,Disorders of the pituitary gland and its hypothalamic control
2532,253,Disorders of the pituitary gland and its hypothalamic control
2532,253,Disorders of the pituitary gland and its hypothalamic control
2533,253,Disorders of the pituitary gland and its hypothalamic control
2533,253,Disorders of the pituitary gland and its hypothalamic control
2534,253,Disorders of the pituitary gland and its hypothalamic control
2534,253,Disorders of the pituitary gland and its hypothalamic control
2535,253,Disorders of the pituitary gland and its hypothalamic control
2535,253,Disorders of the pituitary gland and its hypothalamic control
2536,253,Disorders of the pituitary gland and its hypothalamic control
2536,253,Disorders of the pituitary gland and its hypothalamic control
2537,258,Iatrogenic endocrine disorders
2538,253,Disorders of the pituitary gland and its hypothalamic control
2539,253,Disorders of the pituitary gland and its hypothalamic control
2540,254,Diseases of thymus gland
2541,254,Diseases of thymus gland
2548,254,Diseases of thymus gland
2550,255,Disorders of adrenal glands
2550,255,Disorders of adrenal glands
2550,255,Disorders of adrenal glands
25510,255,Disorders of adrenal glands
25510,255,Disorders of adrenal glands
25510,255,Disorders of adrenal glands
25512,255,Disorders of adrenal glands
25512,255,Disorders of adrenal glands
25512,255,Disorders of adrenal glands
2552,255,Disorders of adrenal glands
2552,255,Disorders of adrenal glands
2553,255,Disorders of adrenal glands
2553,255,Disorders of adrenal glands
2554,255,Disorders of adrenal glands
2554,255,Disorders of adrenal glands
25541,255,Disorders of adrenal glands
25541,255,Disorders of adrenal glands
25541,255,Disorders of adrenal glands
25542,255,Disorders of adrenal glands
25542,255,Disorders of adrenal glands
25542,255,Disorders of adrenal glands
2555,255,Disorders of adrenal glands
2555,255,Disorders of adrenal glands
2558,255,Disorders of adrenal glands
2559,255,Disorders of adrenal glands
2561,256,Ovarian dysfunction
25639,627,Menopausal and postmenopausal disorders
25639,627,Menopausal and postmenopausal disorders
2564,256,Ovarian dysfunction
2564,256,Ovarian dysfunction
2571,258,Iatrogenic endocrine disorders
2572,257,Testicular dysfunction
2572,257,Testicular dysfunction
25801,259,Other endocrine disorders
2581,259,Other endocrine disorders
2588,259,Other endocrine disorders
2589,259,Other endocrine disorders
2592,259,Other endocrine disorders
2594,259,Other endocrine disorders
2598,259,Other endocrine disorders
2599,259,Other endocrine disorders
260,260,Protein-calorie malnutrition
260,260,Protein-calorie malnutrition
260,260,Protein-calorie malnutrition
261,260,Protein-calorie malnutrition
261,260,Protein-calorie malnutrition
261,260,Protein-calorie malnutrition
262,260,Protein-calorie malnutrition
262,260,Protein-calorie malnutrition
2630,260,Protein-calorie malnutrition
2638,260,Protein-calorie malnutrition
2639,260,Protein-calorie malnutrition
2650,261,Vitamin deficiency
2650,261,Vitamin deficiency
2651,261,Vitamin deficiency
2651,261,Vitamin deficiency
2652,261,Vitamin deficiency
2652,261,Vitamin deficiency
2662,261,Vitamin deficiency
2662,261,Vitamin deficiency
2669,261,Vitamin deficiency
2669,261,Vitamin deficiency
267,261,Vitamin deficiency
267,261,Vitamin deficiency
2682,261,Vitamin deficiency
2682,261,Vitamin deficiency
2682,261,Vitamin deficiency
2689,261,Vitamin deficiency
2689,261,Vitamin deficiency
2690,261,Vitamin deficiency
2692,261,Vitamin deficiency
2693,262,Mineral deficiency NEC
2698,263,Other nutritional deficiency
2699,263,Other nutritional deficiency
2700,270,Disorders of protein plasma/amino-acid transport and metabolism
2700,270,Disorders of protein plasma/amino-acid transport and metabolism
2702,270,Disorders of protein plasma/amino-acid transport and metabolism
2702,270,Disorders of protein plasma/amino-acid transport and metabolism
2704,270,Disorders of protein plasma/amino-acid transport and metabolism
2704,270,Disorders of protein plasma/amino-acid transport and metabolism
2704,270,Disorders of protein plasma/amino-acid transport and metabolism
2706,270,Disorders of protein plasma/amino-acid transport and metabolism
2706,270,Disorders of protein plasma/amino-acid transport and metabolism
2706,270,Disorders of protein plasma/amino-acid transport and metabolism
2707,270,Disorders of protein plasma/amino-acid transport and metabolism
2707,270,Disorders of protein plasma/amino-acid transport and metabolism
2710,271,Disorders of carbohydrate transport and metabolism
2710,271,Disorders of carbohydrate transport and metabolism
2713,271,Disorders of carbohydrate transport and metabolism
2713,271,Disorders of carbohydrate transport and metabolism
2718,271,Disorders of carbohydrate transport and metabolism
2718,271,Disorders of carbohydrate transport and metabolism
2720,272,Disorders of lipoid metabolism
2720,272,Disorders of lipoid metabolism
2720,272,Disorders of lipoid metabolism
2721,272,Disorders of lipoid metabolism
2721,272,Disorders of lipoid metabolism
2721,272,Disorders of lipoid metabolism
2722,272,Disorders of lipoid metabolism
2722,272,Disorders of lipoid metabolism
2722,272,Disorders of lipoid metabolism
2724,272,Disorders of lipoid metabolism
2724,272,Disorders of lipoid metabolism
2725,277,Other disorders of metabolism
2725,277,Other disorders of metabolism
2726,277,Other disorders of metabolism
2726,277,Other disorders of metabolism
2727,277,Other disorders of metabolism
2727,277,Other disorders of metabolism
2728,277,Other disorders of metabolism
2729,272,Disorders of lipoid metabolism
2729,272,Disorders of lipoid metabolism
2730,270,Disorders of protein plasma/amino-acid transport and metabolism
2730,270,Disorders of protein plasma/amino-acid transport and metabolism
2730,270,Disorders of protein plasma/amino-acid transport and metabolism
2731,270,Disorders of protein plasma/amino-acid transport and metabolism
2731,270,Disorders of protein plasma/amino-acid transport and metabolism
2731,270,Disorders of protein plasma/amino-acid transport and metabolism
2732,270,Disorders of protein plasma/amino-acid transport and metabolism
2732,270,Disorders of protein plasma/amino-acid transport and metabolism
2732,270,Disorders of protein plasma/amino-acid transport and metabolism
2733,270,Disorders of protein plasma/amino-acid transport and metabolism
2733,270,Disorders of protein plasma/amino-acid transport and metabolism
2733,270,Disorders of protein plasma/amino-acid transport and metabolism
2734,270,Disorders of protein plasma/amino-acid transport and metabolism
2734,270,Disorders of protein plasma/amino-acid transport and metabolism
2734,270,Disorders of protein plasma/amino-acid transport and metabolism
2738,270,Disorders of protein plasma/amino-acid transport and metabolism
2738,270,Disorders of protein plasma/amino-acid transport and metabolism
2738,270,Disorders of protein plasma/amino-acid transport and metabolism
2739,270,Disorders of protein plasma/amino-acid transport and metabolism
2739,270,Disorders of protein plasma/amino-acid transport and metabolism
2740,274,Gout and other crystal arthropathies
2740,274,Gout and other crystal arthropathies
2740,274,Gout and other crystal arthropathies
27400,274,Gout and other crystal arthropathies
27400,274,Gout and other crystal arthropathies
27400,274,Gout and other crystal arthropathies
27401,274,Gout and other crystal arthropathies
27401,274,Gout and other crystal arthropathies
27401,274,Gout and other crystal arthropathies
27402,274,Gout and other crystal arthropathies
27402,274,Gout and other crystal arthropathies
27402,274,Gout and other crystal arthropathies
27403,274,Gout and other crystal arthropathies
27403,274,Gout and other crystal arthropathies
27403,274,Gout and other crystal arthropathies
27411,274,Gout and other crystal arthropathies
27411,274,Gout and other crystal arthropathies
27411,274,Gout and other crystal arthropathies
27482,274,Gout and other crystal arthropathies
27482,274,Gout and other crystal arthropathies
27489,274,Gout and other crystal arthropathies
27489,274,Gout and other crystal arthropathies
2749,274,Gout and other crystal arthropathies
2749,274,Gout and other crystal arthropathies
2750,275,Disorders of mineral metabolism
2750,275,Disorders of mineral metabolism
27501,275,Disorders of mineral metabolism
27501,275,Disorders of mineral metabolism
27501,275,Disorders of mineral metabolism
27502,275,Disorders of mineral metabolism
27502,275,Disorders of mineral metabolism
27503,275,Disorders of mineral metabolism
27503,275,Disorders of mineral metabolism
27509,275,Disorders of mineral metabolism
27509,275,Disorders of mineral metabolism
2751,275,Disorders of mineral metabolism
2751,275,Disorders of mineral metabolism
2752,275,Disorders of mineral metabolism
2752,275,Disorders of mineral metabolism
2753,275,Disorders of mineral metabolism
2753,275,Disorders of mineral metabolism
2753,275,Disorders of mineral metabolism
27540,275,Disorders of mineral metabolism
27540,275,Disorders of mineral metabolism
27541,275,Disorders of mineral metabolism
27541,275,Disorders of mineral metabolism
27541,275,Disorders of mineral metabolism
27542,275,Disorders of mineral metabolism
27542,275,Disorders of mineral metabolism
27549,275,Disorders of mineral metabolism
27549,275,Disorders of mineral metabolism
2755,275,Disorders of mineral metabolism
2755,275,Disorders of mineral metabolism
2755,275,Disorders of mineral metabolism
2758,275,Disorders of mineral metabolism
2759,275,Disorders of mineral metabolism
2760,276,"Disorders of fluid, electrolyte, and acid-base balance"
2760,276,"Disorders of fluid, electrolyte, and acid-base balance"
2760,276,"Disorders of fluid, electrolyte, and acid-base balance"
2761,276,"Disorders of fluid, electrolyte, and acid-base balance"
2761,276,"Disorders of fluid, electrolyte, and acid-base balance"
2761,276,"Disorders of fluid, electrolyte, and acid-base balance"
2762,276,"Disorders of fluid, electrolyte, and acid-base balance"
2762,276,"Disorders of fluid, electrolyte, and acid-base balance"
2763,276,"Disorders of fluid, electrolyte, and acid-base balance"
2763,276,"Disorders of fluid, electrolyte, and acid-base balance"
2764,276,"Disorders of fluid, electrolyte, and acid-base balance"
2765,276,"Disorders of fluid, electrolyte, and acid-base balance"
2765,276,"Disorders of fluid, electrolyte, and acid-base balance"
27650,276,"Disorders of fluid, electrolyte, and acid-base balance"
27650,276,"Disorders of fluid, electrolyte, and acid-base balance"
27651,276,"Disorders of fluid, electrolyte, and acid-base balance"
27651,276,"Disorders of fluid, electrolyte, and acid-base balance"
27652,276,"Disorders of fluid, electrolyte, and acid-base balance"
27652,276,"Disorders of fluid, electrolyte, and acid-base balance"
2766,276,"Disorders of fluid, electrolyte, and acid-base balance"
2766,276,"Disorders of fluid, electrolyte, and acid-base balance"
27661,942,Infusion and transfusion reaction
27669,276,"Disorders of fluid, electrolyte, and acid-base balance"
27669,276,"Disorders of fluid, electrolyte, and acid-base balance"
2767,276,"Disorders of fluid, electrolyte, and acid-base balance"
2767,276,"Disorders of fluid, electrolyte, and acid-base balance"
2767,276,"Disorders of fluid, electrolyte, and acid-base balance"
2768,276,"Disorders of fluid, electrolyte, and acid-base balance"
2768,276,"Disorders of fluid, electrolyte, and acid-base balance"
2768,276,"Disorders of fluid, electrolyte, and acid-base balance"
2769,276,"Disorders of fluid, electrolyte, and acid-base balance"
2769,276,"Disorders of fluid, electrolyte, and acid-base balance"
27700,499,Cystic fibrosis
27702,499,Cystic fibrosis
27709,499,Cystic fibrosis
2771,277,Other disorders of metabolism
2771,277,Other disorders of metabolism
2773,270,Disorders of protein plasma/amino-acid transport and metabolism
27730,270,Disorders of protein plasma/amino-acid transport and metabolism
27731,270,Disorders of protein plasma/amino-acid transport and metabolism
27739,270,Disorders of protein plasma/amino-acid transport and metabolism
2774,277,Other disorders of metabolism
2776,277,Other disorders of metabolism
2777,277,Other disorders of metabolism
2778,277,Other disorders of metabolism
27787,277,Other disorders of metabolism
27788,277,Other disorders of metabolism
27789,277,Other disorders of metabolism
2779,277,Other disorders of metabolism
27800,278,"Overweight, obesity and other hyperalimentation"
27800,278,"Overweight, obesity and other hyperalimentation"
27801,278,"Overweight, obesity and other hyperalimentation"
27801,278,"Overweight, obesity and other hyperalimentation"
27801,278,"Overweight, obesity and other hyperalimentation"
27802,278,"Overweight, obesity and other hyperalimentation"
27803,513,Respiratory abnormalities
27803,513,Respiratory abnormalities
2781,278,"Overweight, obesity and other hyperalimentation"
2781,278,"Overweight, obesity and other hyperalimentation"
2788,278,"Overweight, obesity and other hyperalimentation"
27900,279,Disorders involving the immune mechanism
27900,279,Disorders involving the immune mechanism
27900,279,Disorders involving the immune mechanism
27901,279,Disorders involving the immune mechanism
27901,279,Disorders involving the immune mechanism
27901,279,Disorders involving the immune mechanism
27903,279,Disorders involving the immune mechanism
27903,279,Disorders involving the immune mechanism
27903,279,Disorders involving the immune mechanism
27906,279,Disorders involving the immune mechanism
27906,279,Disorders involving the immune mechanism
27906,279,Disorders involving the immune mechanism
27911,279,Disorders involving the immune mechanism
27911,279,Disorders involving the immune mechanism
2793,279,Disorders involving the immune mechanism
2793,279,Disorders involving the immune mechanism
2794,279,Disorders involving the immune mechanism
2794,279,Disorders involving the immune mechanism
27941,279,Disorders involving the immune mechanism
27941,279,Disorders involving the immune mechanism
27949,279,Disorders involving the immune mechanism
27949,279,Disorders involving the immune mechanism
27950,081,Infection/inflammation of internal prosthetic device; implant; and graft
27950,081,Infection/inflammation of internal prosthetic device; implant; and graft
27951,081,Infection/inflammation of internal prosthetic device; implant; and graft
27951,081,Infection/inflammation of internal prosthetic device; implant; and graft
27951,081,Infection/inflammation of internal prosthetic device; implant; and graft
27952,081,Infection/inflammation of internal prosthetic device; implant; and graft
27952,081,Infection/inflammation of internal prosthetic device; implant; and graft
27952,081,Infection/inflammation of internal prosthetic device; implant; and graft
27953,081,Infection/inflammation of internal prosthetic device; implant; and graft
27953,081,Infection/inflammation of internal prosthetic device; implant; and graft
27953,081,Infection/inflammation of internal prosthetic device; implant; and graft
2798,279,Disorders involving the immune mechanism
2798,279,Disorders involving the immune mechanism
2799,279,Disorders involving the immune mechanism
2800,280,Iron deficiency anemias
2800,280,Iron deficiency anemias
2808,280,Iron deficiency anemias
2808,280,Iron deficiency anemias
2809,280,Iron deficiency anemias
2809,280,Iron deficiency anemias
2810,281,Other deficiency anemia
2810,281,Other deficiency anemia
2810,281,Other deficiency anemia
2811,281,Other deficiency anemia
2811,281,Other deficiency anemia
2811,281,Other deficiency anemia
2812,281,Other deficiency anemia
2812,281,Other deficiency anemia
2812,281,Other deficiency anemia
2813,281,Other deficiency anemia
2813,281,Other deficiency anemia
2818,281,Other deficiency anemia
2819,281,Other deficiency anemia
2819,281,Other deficiency anemia
2820,282,Hereditary hemolytic anemias
2820,282,Hereditary hemolytic anemias
2821,282,Hereditary hemolytic anemias
2821,282,Hereditary hemolytic anemias
2822,282,Hereditary hemolytic anemias
2822,282,Hereditary hemolytic anemias
2823,282,Hereditary hemolytic anemias
2823,282,Hereditary hemolytic anemias
2824,282,Hereditary hemolytic anemias
2824,282,Hereditary hemolytic anemias
28240,282,Hereditary hemolytic anemias
28240,282,Hereditary hemolytic anemias
28241,282,Hereditary hemolytic anemias
28241,282,Hereditary hemolytic anemias
28243,282,Hereditary hemolytic anemias
28243,282,Hereditary hemolytic anemias
28244,282,Hereditary hemolytic anemias
28244,282,Hereditary hemolytic anemias
28246,282,Hereditary hemolytic anemias
28246,282,Hereditary hemolytic anemias
28249,282,Hereditary hemolytic anemias
28249,282,Hereditary hemolytic anemias
2825,282,Hereditary hemolytic anemias
2825,282,Hereditary hemolytic anemias
28260,282,Hereditary hemolytic anemias
28260,282,Hereditary hemolytic anemias
28262,282,Hereditary hemolytic anemias
28262,282,Hereditary hemolytic anemias
28264,282,Hereditary hemolytic anemias
28264,282,Hereditary hemolytic anemias
2827,282,Hereditary hemolytic anemias
2827,282,Hereditary hemolytic anemias
2828,282,Hereditary hemolytic anemias
2828,282,Hereditary hemolytic anemias
2829,282,Hereditary hemolytic anemias
2829,282,Hereditary hemolytic anemias
2830,283,Acquired hemolytic anemias
2830,283,Acquired hemolytic anemias
28310,283,Acquired hemolytic anemias
28310,283,Acquired hemolytic anemias
28311,283,Acquired hemolytic anemias
28311,283,Acquired hemolytic anemias
28311,283,Acquired hemolytic anemias
28319,283,Acquired hemolytic anemias
28319,283,Acquired hemolytic anemias
2832,285,Other anemias
2839,283,Acquired hemolytic anemias
2840,284,Aplastic anemia
2840,284,Aplastic anemia
2841,284,Aplastic anemia
2841,284,Aplastic anemia
28411,284,Aplastic anemia
28411,284,Aplastic anemia
28412,284,Aplastic anemia
28412,284,Aplastic anemia
28419,284,Aplastic anemia
28419,284,Aplastic anemia
2842,285,Other anemias
2848,284,Aplastic anemia
28489,284,Aplastic anemia
2849,284,Aplastic anemia
2851,285,Other anemias
2851,285,Other anemias
28521,285,Other anemias
28521,285,Other anemias
28521,285,Other anemias
28522,285,Other anemias
28522,285,Other anemias
28522,285,Other anemias
28529,285,Other anemias
28529,285,Other anemias
2853,285,Other anemias
2853,285,Other anemias
2853,285,Other anemias
2858,285,Other anemias
2859,285,Other anemias
2860,286,Coagulation defects
2860,286,Coagulation defects
2860,286,Coagulation defects
2861,286,Coagulation defects
2861,286,Coagulation defects
2862,286,Coagulation defects
2862,286,Coagulation defects
2863,286,Coagulation defects
2863,286,Coagulation defects
2863,286,Coagulation defects
2864,286,Coagulation defects
2864,286,Coagulation defects
2864,286,Coagulation defects
2865,286,Coagulation defects
2865,286,Coagulation defects
28652,286,Coagulation defects
28652,286,Coagulation defects
2866,286,Coagulation defects
2866,286,Coagulation defects
2867,286,Coagulation defects
2867,286,Coagulation defects
2869,286,Coagulation defects
2869,286,Coagulation defects
2870,287,Purpura and other hemorrhagic conditions
2870,287,Purpura and other hemorrhagic conditions
2871,287,Purpura and other hemorrhagic conditions
2871,287,Purpura and other hemorrhagic conditions
2872,287,Purpura and other hemorrhagic conditions
2873,287,Purpura and other hemorrhagic conditions
2873,287,Purpura and other hemorrhagic conditions
2873,287,Purpura and other hemorrhagic conditions
28730,287,Purpura and other hemorrhagic conditions
28730,287,Purpura and other hemorrhagic conditions
28730,287,Purpura and other hemorrhagic conditions
28731,287,Purpura and other hemorrhagic conditions
28731,287,Purpura and other hemorrhagic conditions
28731,287,Purpura and other hemorrhagic conditions
28732,287,Purpura and other hemorrhagic conditions
28732,287,Purpura and other hemorrhagic conditions
28732,287,Purpura and other hemorrhagic conditions
28733,287,Purpura and other hemorrhagic conditions
28733,287,Purpura and other hemorrhagic conditions
28733,287,Purpura and other hemorrhagic conditions
2874,287,Purpura and other hemorrhagic conditions
2874,287,Purpura and other hemorrhagic conditions
2874,287,Purpura and other hemorrhagic conditions
28749,287,Purpura and other hemorrhagic conditions
28749,287,Purpura and other hemorrhagic conditions
28749,287,Purpura and other hemorrhagic conditions
2875,287,Purpura and other hemorrhagic conditions
2875,287,Purpura and other hemorrhagic conditions
2879,287,Purpura and other hemorrhagic conditions
2880,288,Diseases of white blood cells
2880,288,Diseases of white blood cells
28800,288,Diseases of white blood cells
28800,288,Diseases of white blood cells
28801,288,Diseases of white blood cells
28801,288,Diseases of white blood cells
28802,288,Diseases of white blood cells
28802,288,Diseases of white blood cells
28803,288,Diseases of white blood cells
28803,288,Diseases of white blood cells
28804,288,Diseases of white blood cells
28804,288,Diseases of white blood cells
28809,288,Diseases of white blood cells
28809,288,Diseases of white blood cells
2881,288,Diseases of white blood cells
2882,288,Diseases of white blood cells
2883,288,Diseases of white blood cells
2883,288,Diseases of white blood cells
2884,288,Diseases of white blood cells
28850,288,Diseases of white blood cells
28851,288,Diseases of white blood cells
28859,288,Diseases of white blood cells
28860,288,Diseases of white blood cells
28860,288,Diseases of white blood cells
28861,288,Diseases of white blood cells
28861,288,Diseases of white blood cells
28862,288,Diseases of white blood cells
28862,288,Diseases of white blood cells
28863,288,Diseases of white blood cells
28863,288,Diseases of white blood cells
28866,288,Diseases of white blood cells
28866,288,Diseases of white blood cells
2888,288,Diseases of white blood cells
2889,288,Diseases of white blood cells
2890,289,Other diseases of blood and blood-forming organs
2891,289,Other diseases of blood and blood-forming organs
2893,289,Other diseases of blood and blood-forming organs
2894,289,Other diseases of blood and blood-forming organs
28950,289,Other diseases of blood and blood-forming organs
28951,289,Other diseases of blood and blood-forming organs
28952,289,Other diseases of blood and blood-forming organs
28959,289,Other diseases of blood and blood-forming organs
2897,289,Other diseases of blood and blood-forming organs
2897,289,Other diseases of blood and blood-forming organs
2898,289,Other diseases of blood and blood-forming organs
28981,286,Coagulation defects
28981,286,Coagulation defects
28981,286,Coagulation defects
28982,286,Coagulation defects
28982,286,Coagulation defects
28983,289,Other diseases of blood and blood-forming organs
28983,289,Other diseases of blood and blood-forming organs
28984,964,Poisoning by agents primarily affecting blood constituents
28984,964,Poisoning by agents primarily affecting blood constituents
28989,289,Other diseases of blood and blood-forming organs
2899,289,Other diseases of blood and blood-forming organs
2900,290,Delirium dementia and amnestic and other cognitive disorders
2900,290,Delirium dementia and amnestic and other cognitive disorders
2900,290,Delirium dementia and amnestic and other cognitive disorders
29010,290,Delirium dementia and amnestic and other cognitive disorders
29010,290,Delirium dementia and amnestic and other cognitive disorders
29012,290,Delirium dementia and amnestic and other cognitive disorders
29012,290,Delirium dementia and amnestic and other cognitive disorders
2903,290,Delirium dementia and amnestic and other cognitive disorders
2903,290,Delirium dementia and amnestic and other cognitive disorders
2903,290,Delirium dementia and amnestic and other cognitive disorders
29040,290,Delirium dementia and amnestic and other cognitive disorders
29040,290,Delirium dementia and amnestic and other cognitive disorders
29040,290,Delirium dementia and amnestic and other cognitive disorders
29041,290,Delirium dementia and amnestic and other cognitive disorders
29041,290,Delirium dementia and amnestic and other cognitive disorders
29041,290,Delirium dementia and amnestic and other cognitive disorders
29042,290,Delirium dementia and amnestic and other cognitive disorders
29042,290,Delirium dementia and amnestic and other cognitive disorders
29042,290,Delirium dementia and amnestic and other cognitive disorders
29043,290,Delirium dementia and amnestic and other cognitive disorders
29043,290,Delirium dementia and amnestic and other cognitive disorders
